"id","title","locationSource","magSource","url","detail","wkb_geometry"
iscgem912578,"M 6.1 - 40 km SSE of Vallegrande, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem912578,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem912578&format=geojson,POINT Z(-63.908 -18.807 15)
iscgemsup911018,"M 5.6 - 109 km E of Okinawa Número Uno, Bolivia",iscgemsup,iscgemsup,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup911018,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup911018&format=geojson,POINT Z(-61.788 -17.258 15)
iscgemsup909601,"M 5.3 - 162 km W of Colchani, Bolivia",iscgemsup,iscgemsup,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup909601,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup909601&format=geojson,POINT Z(-68.476 -20.519 15)
iscgem905317,"M 6.1 - 93 km WSW of Colchani, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem905317,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem905317&format=geojson,POINT Z(-67.772 -20.61 15)
iscgem897773,"M 6.4 - 5 km WNW of Mapiri, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem897773,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem897773&format=geojson,POINT Z(-68.215 -15.228 20)
iscgem888618,"M 6.3 - 36 km W of Mapiri, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem888618,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem888618&format=geojson,POINT Z(-68.502 -15.204 35)
iscgem887094,"M 6.3 - 45 km W of Abapó, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem887094,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem887094&format=geojson,POINT Z(-63.806 -18.82 15)
iscgem887612,"M 7.7 - 51 km W of Atocha, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem887612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem887612&format=geojson,POINT Z(-66.713 -20.948 232.5)
iscgem887742,"M 6.1 - 11 km N of Comarapa, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem887742,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem887742&format=geojson,POINT Z(-64.545 -17.812 15)
iscgem854803,"M 6.7 - 127 km SSW of Curahuara de Carangas, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem854803,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem854803&format=geojson,POINT Z(-68.82 -18.954 124)
