time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1920-08-13T02:02:46.040Z,-18.807,-63.908,15,6.06,mw,,,,,iscgem,iscgem912578,2022-04-25T23:47:47.895Z,"40 km SSE of Vallegrande, Bolivia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-07-07T17:20:41.070Z,-17.258,-61.788,15,5.59,mw,,,,,iscgemsup,iscgemsup911018,2022-05-09T17:53:10.853Z,"109 km E of Okinawa Número Uno, Bolivia",earthquake,,25,0.29,,reviewed,iscgemsup,iscgemsup
1927-11-02T06:09:45.530Z,-20.519,-68.476,15,5.34,mw,,,,,iscgemsup,iscgemsup909601,2022-05-09T17:44:54.055Z,"162 km W of Colchani, Bolivia",earthquake,,10.9,0.25,,reviewed,iscgemsup,iscgemsup
1934-12-23T09:52:20.290Z,-20.61,-67.772,15,6.09,mw,,,,,iscgem,iscgem905317,2022-04-25T21:50:44.469Z,"93 km WSW of Colchani, Bolivia",earthquake,,12.9,0.2,,reviewed,iscgem,iscgem
1947-02-24T17:31:30.580Z,-15.228,-68.215,20,6.43,mw,,,,,iscgem,iscgem897773,2022-04-26T18:47:01.354Z,"5 km WNW of Mapiri, Bolivia",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1956-08-23T13:48:29.440Z,-15.204,-68.502,35,6.3,mw,,,,,iscgem,iscgem888618,2022-04-26T17:26:07.218Z,"36 km W of Mapiri, Bolivia",earthquake,,4.6,0.34,,reviewed,iscgem,iscgem
1957-08-26T11:28:56.150Z,-18.82,-63.806,15,6.34,mw,,,,,iscgem,iscgem887094,2022-04-26T17:16:01.304Z,"45 km W of Abapó, Bolivia",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1957-11-29T22:19:50.600Z,-20.948,-66.713,232.5,7.7,mw,,,,,iscgem,iscgem887612,2022-04-26T17:20:06.380Z,"51 km W of Atocha, Bolivia",earthquake,,6,0.4,,reviewed,iscgem,iscgem
1957-12-28T14:36:43.970Z,-17.812,-64.545,15,6.07,mw,,,,,iscgem,iscgem887742,2022-04-26T17:20:59.894Z,"11 km N of Comarapa, Bolivia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1964-02-13T11:21:45.910Z,-18.152,-56.754,18.6,5.46,mw,,,,,iscgem,iscgem870581,2022-04-27T00:15:42.269Z,"114 km ESE of Puerto Quijarro, Bolivia",earthquake,,25,0.34,,reviewed,iscgem,iscgem
1965-08-20T09:42:50.030Z,-18.954,-68.82,124,6.7,mw,,,,,iscgem,iscgem854803,2022-04-26T23:36:19.950Z,"127 km SSW of Curahuara de Carangas, Bolivia",earthquake,,5.2,0.4,,reviewed,iscgem,iscgem
1968-08-23T22:36:52.170Z,-21.989,-63.554,533.6,6.31,mw,,,,,iscgem,iscgem818277,2022-04-26T22:25:12.308Z,"13 km ENE of Yacuiba, Bolivia",earthquake,,6.3,0.1,,reviewed,iscgem,iscgem
1969-07-18T23:17:11.670Z,-18.499,-63.472,19,5.4,mw,,,,,iscgem,iscgem807188,2022-04-26T22:04:19.636Z,"43 km NNW of Abapó, Bolivia",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1970-06-24T21:40:53.800Z,-18.297,-63.319,15,5.17,mw,,,,,iscgem,iscgem794840,2022-04-26T21:38:21.683Z,"29 km SSE of Jorochito, Bolivia",earthquake,,15.6,0.2,,reviewed,iscgem,iscgem
1971-08-14T15:00:25.780Z,-21.735,-67.227,185,5.86,mw,,,,,iscgem,iscgem781247,2022-04-26T21:08:23.953Z,"136 km SW of Atocha, Bolivia",earthquake,,5.3,0.47,,reviewed,iscgem,iscgem
